i,Action,Industry,Country,ИНН
"Procter & Gamble (Fairy, Lenor, Head & Shoulders, Tide, Safeguard, Max Factor, Oral-B, Gillette и др., парфюмы Hugo Boss, Mexx, Baldessarini, Dolce&Gabbana)","Частично ушли (Компания сократит ассортимент и инвестиции, но продолжила поставки средств для гигиены базовой необходимости)",Health Care,,
Oriflame,Частично ушли (ограничила продажу онлайн для новых покупателей),Health Care,,7704270172
"Colgate-Palmolive (выпускает Colgate, Palmolive, Protex, Mennen, Kolynos, Lady Speed Stick и др.)",Частично ушли (решила сократить продаваемый ассортимент),Health Care,,
"Henkel (Persil, Gliss Kur, «Пемолюкс», Vernel и др.)","Частично ушли (остановила инвестиции, рекламу)",Health Care,,
Clinique,Частично ушли,Health Care,,7842194649
Giorgio Armani Beauty,Частично ушли,Health Care,,
MAC Cosmetics,Частично ушли,Health Care,,
Tom Ford Beauty,Частично ушли,Health Care,,
Smashbox,Частично ушли,Health Care,,
Shu Uemura,Частично ушли,Health Care,,
Maison Martin Margiela,Частично ушли,Health Care,,
Urban Decay,Частично ушли,Health Care,,
Jo Malone London,Частично ушли,Health Care,,
«Иль де Ботэ»,Частично ушли,Health Care,,7707061530
Tory Burch Beauty,Частично ушли,Health Care,,
Cacharel,Частично ушли,Health Care,,
Helena Rubinstein,Частично ушли,Health Care,,
Viktor&Rolf,Частично ушли,Health Care,,
Lancôme,Частично ушли,Health Care,,7841040808
Garnier,Частично ушли,Health Care,,7710528341
NYX Professional Makeup,Частично ушли,Health Care,,
Maybelline NY,Частично ушли,Health Care,,
Vichy,Частично ушли,Health Care,,
La Roche-Posay,Частично ушли,Health Care,,
Biotherm,Частично ушли,Health Care,,
SkinCeuticals,Частично ушли,Health Care,,
Youtube,Частично ушли (выключил монетизацию для российских авторов),Information Technology,,
GoDaddy (регистраторы доменов),"Ушли с рынка (не обслуживают сайты, находящиеся под доменами России (.рф, .ru), Беларуси (.бел, .by), и Советского Союза (.su))",Information Technology,,
EasyWP (сервис для построения веб-сайтов),"Ушли с рынка (не обслуживают сайты, находящиеся под доменами России (.рф, .ru), Беларуси (.бел, .by), и Советского Союза (.su))",Information Technology,,
"Private Email (служба, скрывающая ваш адрес электронной почты)","Ушли с рынка (не обслуживают сайты, находящиеся под доменами России (.рф, .ru), Беларуси (.бел, .by), и Советского Союза (.su))",Information Technology,,
Euronews,Ушли с рынка (Заблокированы Роскомнадзором),Information Technology,,7722640274
Google.News,Ушли с рынка (Заблокированы Роскомнадзором),Information Technology,,
"Meta (Facebook, Instagram)",Ушли с рынка (Заблокированы Роскомнадзором),Information Technology,,
DHL Express,Частично ушли (с 1 сентября занимается только международной экспресс-доставкой на экспорт – из России в 220 стран мира),Consumer Staples,,7713727881
QMall,Ушли с рынка,Financials,,
Strava,Ушли с рынка,Information Technology,,
EA Sports,Ушли с рынка,Information Technology,,2543169349
PlayStation Store,Ушли с рынка,Information Technology,,
Warner Bros,Ушли с рынка,Consumer Discretionary,,7704563877
Paramount Pictures,Ушли с рынка,Consumer Discretionary,,
Avito,"Avito вышла из OLX Group, частью которой был с 2013 года, и займется развитием собственного бизнеса Компания продолжит свою работу в России под управлением действующей команды топ-менеджеров и собственным советом директоров. Авито изначально работал по отличной от OLX модели – отдельный бренд, технологическая платформа, много вертикалей, один рынок. Компания заявила, что не нуждается в финансировании и будет реинвестировать собственные средства в развитие всех категорий бизнес – Недвижимость, Услуги, Товары, Авто и Работа.
",,,7727141695
Bernard,"Поставки пива в Россию из-за событий на Украине прекратили Bernard Budvar - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
",,,7706107510
Booking.com,"Японский концерн Bridgestone приостанавливает производство автомобильных шин в Ульяновске, поставки в Россию и будущие инвестиции до дальнейшего уведомления, говорится в сообщении компании. Производство будет приостановлено с 18 марта 2022 года. ""Продолжающийся кризис на Украине затронул многих людей и различные сферы бизнеса. Bridgestone тщательно анализирует его влияние на свою деятельность в этих сложных обстоятельствах. В настоящее время компания сталкивается с серьезными проблемами, вызванными перебоями в цепочке поставок и логистике, волатильностью национальной и иностранной валют, которые серьезно сказываются на возможности обеспечить стабильное производство в России"", - поясняются в сообщении причины приостановки.
",,,
Brooke Bond,"Чаи Lipton, Brooke Bond и Saito исчезнут с российских прилавков. Сотрудникам завода по их производству в Петербурге объявили, что предприятие ликвидируют, персонал также сократят, пишет Mash.
",,,
Bud,"Поставки пива в Россию из-за событий на Украине прекратили Budejovicky Budvar - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
",,,6164202134
Budejovicky Budvar,"Поставки пива в Россию из-за событий на Украине прекратили Budejovicky Budvar - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
",,,
CitiGroup,"Американский банк CitiGroup увеличили число вакансий в российских подразделениях после того, как в РФ было решено блокировать сделки по продаже дочерних компаний иностранных банков — Reuters
",,,7728662669
Cisco Systems Inc.,"Американский производитель сетевого оборудования Cisco Systems Inc. приостановил все бизнес-операции в России и Белоруссии из-за событий на Украине.
",,,
Cloudflare,"«Cloudflare предоставляет доступ к более открытому и безопасному интернету, и мы считаем полное прекращение работы в России ошибкой».Платформа для защиты сайтов от DDoS-атак, доставки и хранения контента будет соблюдать санкции, но не станет отключать российских пользователей, пишет vc.ru, со ссылкой на главу компании Мэттью Принца.
",,,
Christie's,"Аукционный дом Christie's запретил продажу предметов роскоши клиентам из России и Белоруссии
",,,7736012978
Dassault,"Dassault приостанавливает поставки джетов Falcon в Россию
",,,7743842200
The Walt Disney Company,"Американская компания The Walt Disney Company приостанавливает показ своих фильмов в России
",,,7710608533
Efe,"Испанское агентство Efe сообщило о возобновлении работы в России
",,,2330027526
Electrolux Professional,"Компания-производитель электротехники Electrolux Professional прекратит работу в России. Компания продаст российский бизнес топ-менеджменту подразделения, сообщило агентство Reuters.
",,,9705135067
Ernst & Young (EY),"Одна из крупнейших в мире аудиторских компаний Ernst & Young (EY) объявила о прекращении работы в России
",,,
Essity,"Владеющая торговыми марками Zewa, Libresse и Libero компания Essity уходит с рынка РФ — заявление
",,,4704031845
Eurosport,"Телеканал Eurosport прекращает вещание в России — заявление
",,,7731426936
Exxon Mobil,"Exxon Mobil рассматривает возможность полного ухода из России к 24 июня — источники Reuters
",,,
FEDEX,"FEDEX заявляет, что приняла решение приостановить все услуги в России и Беларуси
",,,7743003117
Forbes,"Российский Forbes с июня временно приостановит выпуск бумажной версии журнала в связи с уходом рекламодателей и удорожанием производства, об этом РБК сообщил директор по маркетингу и связям с общественностью издания Дмитрий Озман.",,,7744000912
Ford Motor Company,"Американский автопроизводитель Ford Motor Company вслед за рядом других автопроизводителей приостанавливает деятельность в России, включая совместное предприятие с группой ""Соллерс Авто"" по выпуску LCV Ford Transit в Татарстане, говорится на сайте Ford.
",,,4703038767
Gett,"Агрегатор такси Gett прекращает работу в России. Водители, которые сотрудничали с компанией, начали получать сообщения о том, что 31 мая — будет последним рабочим днем приложения.
",,,7725424391
Globus,"Гипермаркет Globus опровергают слухи о своем уходе с российского рынка
",,,7720718408
Goldman Sachs Group Inc.,"Goldman Sachs Group Inc. сворачивает свой бизнес в России ""в соответствии с регуляторными и лицензионными требованиями"" — Bloomberg
",,,7750005387
Haribo,"Крупные торговые сети не получали уведомления от немецкого производителя мармеладных мишек Haribo о приостановке поставок в Россию, сообщил РИА Новости источник в отрасли.  Ранее в пятницу в СМИ появилась информация, что компания Haribo приостановила поставки своей продукции в Россию из-за роста цен на сырье и увеличения тарифов на перевозку грузов.
",,,7709403651
Hitachi Construction Machinery Co.,Hitachi Construction Machinery Co. прекратит экспорт гидравлических экскаваторов в Россию. Также компания намерена прекратить местное производство в середине апреля.,,,6950130168
Hortex,"Польский производитель замороженных овощей, фруктов и ягод Hortex ушел из России. Новым владельцем компании ""Ортика Фрозен Фудс"", представлявшей интересы Hortex в РФ, стала ГК ""Агама"", свидетельствует информация ЕГРЮЛ. Группа занимается производством и поставками рыбы.
",,,7714695784
Hyatt hotels,"Американская компания Hyatt hotels, управляющая сетями отелей высшего класса, разрывает контракты и прекращает сотрудничество с отелем в Москве Hyatt Regency Moscow Petrovsky Park с 26 марта
",,,
IHG,"Компания IHG, владеющая сетями отелей Holiday Inn и Crowne Plaza, прекращает всю деятельность в РФ — заявление
",,,7709363720
IMAX,"Корпорация IMAX, предоставляющая одноименную кинематографическую систему, покинула Россию с 1 июня 2022 года, сообщил ТАСС член совета Ассоциации владельцев кинотеатров Роман Исаев.
",,,7728739819
Independent Media,"Independent Media (издаёт версии журналов: Cosmopolitan, ""Домашний Очаг"", Harper""s Bazaar, Grazia, Esquire, ""Robb Report Россия"", ""Популярная механика"" и Men's Health) объявил о перезапуске брендов, холдинг продолжит работу на российском рынке в новом формате.  ""Медиахолдинг перезапускает бренды, которые ранее выпускались в партнерстве с конгломератом Hearst, в локализованных российских версиях под новыми названиями. Проекты сохранят главных редакторов и основной состав креативных команд, но расширят круг освещаемых тем"", говорится в сообщении.  Также холдинг анонсировал выход новых проектов от журналов. Например, VOICE - новый проект от команды Cosmopolitan и cosmo.ru. Men Today - расширенная концепция Men""s Health. ""Новый Очаг"" - новая версия бренда ""Домашний Очаг"". TechInsider - расширенная вселенная бренда ""Популярная Механика"". ""Правила жизни"" - логическое продолжение бренда Esquire. The Symbol - новый проект от команды легендарного Harper""s Bazaar. Grazia и Robb Report продолжат работать в прежнем режиме.
",,,7715681914
Komatsu Ltd.,"Ряд японских компаний объявили о приостановке поставок продукции и производства в России, в том числе из-за проблем с логистикой, сообщает The Japan News. Крупный производитель строительной техники Komatsu Ltd. принял решение приостановить поставки горнодобывающего оборудования и запчастей в Россию. Также компания может остановить производство гидравлических экскаваторов и самосвалов на производственных мощностях страны.
",,,5047073099
Kone,"Производители скоростных лифтов, в том числе американский Otis и финский Kone, перестали принимать заказы от российских застройщиков, поэтому на рынке образовался дефицит, пишет Forbes.  Российские производители пока не готовы производить такие лифты, поэтому девелоперы ищут новых поставщиков в Китае и Турции.
",,,7727127475
Ladoga,"Крупный дистрибьютор и импортер алкоголя в Россию Ladoga повторно снижает цены на импортную продукцию, в этот раз на 10% — компания
",,,
Lavazza Group,"Lavazza Group (https://www.kommersant.ru/doc/5306092?tg) приостанавливает свою деятельность на территории России «в связи с форс-мажорными обстоятельствами и невозможностью поставки продукции на рынок», сообщает ""Коммерсант"". Итальянская компания занимается производством кофе и кофемашин, ей принадлежат бренды Lavazza, Carte Noire, Merrild и Kicking Horse.
",,,
Leroy Merlin,"Компания Adeo в ответ на призыв Зеленского заявила, что магазины Leroy Merlin продолжат работу в России — AFP
",,,9725097780
Levi Strauss&Co,"Производитель одежды Levi Strauss&Co сообщил, что ""временно"" прекращает работу в России - релиз
",,,
LG,"Южнокорейский производитель бытовой электроники LG Electronics сообщил о приостановке всех поставок в Россию
",,,5075018950
Lipton,"Чаи Lipton, Brooke Bond и Saito исчезнут с российских прилавков. Сотрудникам завода по их производству в Петербурге объявили, что предприятие ликвидируют, персонал также сократят, пишет Mash.",,,3435038220
Louis Vuitton,"Louis Vuitton закрывает с воскресенья 124 магазина в России — Reuters
",,,7710378784
Mars Inc.,"Американский производитель продуктов питания и кормов для домашних животных Mars Inc. прекращает новые инвестиции в России, сворачивает здесь, а также в Белоруссии рекламную активность.
",,,
Marvel,"Marvel разослало письмо российским издательствам, в котором уведомило партнёров о том, что прекращает продажу и продление лицензий на свои комиксы, рассказали изданию GeekCity источники, знакомые с письмом.
",,,
Monotype Imaging,"Американская компания Monotype Imaging перекрыла для россиян доступ к библиотеке на своем сайте. Теперь недоступны такие популярные шрифты, как Times New Roman, Arial, Verdana, Tahoma и Helvetica, правами на которые владеет данная компания, сообщают «Ведомости» со ссылкой на источники в IT-компаниях.
",,,
Mozilla Firefox,"Браузер Mozilla Firefox убрал поисковик «Яндекса» из настроек и заменил поиск по умолчанию на Google — vc.ru
",,,
Mubadala Investment Company,"Инвестиционный фонд Арабских Эмиратов Mubadala Investment Company приостановит инвестиции в Россию
",,,
National Geographic,"Русскоязычная версия журнала National Geographic прекращает выходить в России
",,,
Nemiroff,"Украинский производитель алкогольных напитков Nemiroff аннулировал лицензию на производство своей продукции в России
",,,3906396251
Nexters,"Разработчик игр Nexters передаст 100% акций своих российских юрлиц локальному менеджменту, сообщили (https://www.forbes.ru/svoi-biznes/471321-razrabotcik-igr-nexters-peredast-biznes-v-rossii-lokal-nomu-menedzmentu) Forbes в компании. Головной офис Nexters на Кипре больше не будет получать выручку в РФ: она пойдет на развитие и поддержку компании и игр в России. «Цель — сделать так, чтобы российские игроки не почувствовали каких-либо изменений и смогли продолжить играть в свои любимые игры», заявил генеральный директор и сооснователь Nexters Андрей Фадеев.
",,,7709462505
Nintendo Co.,"Компания Nintendo Co., занимающаяся производством видеоигр, также временно остановит поставки продукции в Россию.
",,,7804361634
Novartis AG,"Швейцарская фармацевтическая компания Novartis AG приостанавливает инвестиции и коммерческую деятельность в России из-за военной операции на Украине. Однако ее завод в Санкт-Петербурге продолжит производить медикаменты для российского рынка, сообщило агентство Bloomberg со ссылкой на заявление компании. На российском заводе Novartis работает порядка 2 тысяч человек.
",,,7705772224
Oppo,"Oppo сократили поставки смартфонов в Россию минимум в два раза — Financial Times
",,,2540084979
P&G,"Производитель бытовой химии и товаров для гигиены P&G (Ariel, Tide, Lenor, Fairy, Pampers, Always, Gillette, Head & Shoulders, Pantene, Blend-a-med) допустил уход с российского рынка, сообщил Reuters со ссылкой на представителей компании.  По их данным, такое решение может быть принято в связи с введением санкций против России, а также финансовыми ограничениями и проблемами с поставками.
",,,7448024720
Philip Morris International,"Табачная компания Philip Morris International рассматривает варианты реструктуризации бизнеса в России, включая возможную передачу активов, говорится в сообщении компании.
",,,4720007247
Plzensky Prazdroj,"Поставки пива в Россию из-за событий на Украине прекратили Plzensky Prazdroj - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
",,,
PowerJet,"Российско-французская компания PowerJet, выпускающая двигатели SaM146 для самолета Superjet 100, из-за санкций прекратила их техобслуживание и ремонт, сообщил ""Интерфаксу"" источник, близкий к авиапрому.
",,,7610063420
PVH Corp.,"Американская PVH Corp., владеющая брендами Tommy Hilfiger, Calvin Klein, Warner's и др., приняла решение временно закрыть свои магазины и приостановить все коммерческие операции в РФ и Белоруссии с 7 марта, сообщила компания.
",,,
Rai,,,,7706107510
Raiffeisen Bank,"Австрийский Raiffeisen Bank увеличили число вакансий в российских подразделениях после того, как в РФ было решено блокировать сделки по продаже дочерних компаний иностранных банков — Reuters
",,,7744000302
Reckitt Benckiser,"Британская Reckitt Benckiser, владеющая брендами Nurofen, Strepsils, Durex и Vanish, начинает процесс передачи владения российским бизнесом — компания
",,,7705495411
RESERVED,"RESERVED приостановил работу интернет-магазина, обычные магазины продолжают работу — Коммерсант
",,,1514018103
Rothschild & Co.,"Подразделение по управлению активами состоятельных клиентов инвестбанка Rothschild & Co. перестало принимать новых клиентов, имеющих российское гражданство, сообщило агентство Bloomberg со ссылкой на осведомленные источники.
",,,1835062930
RuTracker,"RuTracker отключал доступ пользователям из России и Китая — из-за наплыва спама и ботов, но сейчас его вернули — заявление сервиса
",,,
S-Group,"Финский холдинг S-Group, управляющий сетями супермаркетов Prisma и отелями Sokos, сообщил, что прекращает операционную деятельность в России из-за военной операции на Украине.
",,,2310213891
Saito,"Чаи Lipton, Brooke Bond и Saito исчезнут с российских прилавков. Сотрудникам завода по их производству в Петербурге объявили, что предприятие ликвидируют, персонал также сократят, пишет Mash.",,,7718254597
Shkulev Media Holding,"Медиагруппа Shkulev Media Holding приостановила выпуск журналов Elle, Elle Decoration, Elle Girl и Maxim в России
",,,7708183322
Selgros Cash&Carry,"Ритейлер Selgros Cash&Carry, управляющий в РФ гипермаркетами мелкооптовой торговли, передаст российский бизнес менеджменту, магазины продолжат работу
",,,
Sony Pictures Entertainment,"Компания Sony Pictures Entertainment заявила, что приостанавливает всю деятельность в России из-за ситуации с Украиной, пишет издание Variety.
",,,7710744977
Sprite,"Напитки Sprite не будут продавать в зеленых пластиковых бутылках из-за их неэкологичности — CNN
",,,7736342341
SvetoCopy,"Производитель бумаги SvetoCopy объявил об уходе из России
",,,
Tadano Ltd,"Производитель автокранов Tadano Ltd. на прошлой неделе приостановил поставки в Россию и Белоруссию из-за опасений, что финансовые санкции могут помешать платежам.",,,
Tiffany & Co,"Американский ювелирный ритейлер Tiffany & Co отказался от закупок продукции из России, сообщает Marketwatch со ссылкой на представителя компании. ""Tiffany приостановила закупку всех необработанных алмазов из России, а также бриллиантов российского происхождения независимо от того, где они огранены"", - говорится в сообщении представителя Tiffany.
",,,7709901304
TOEFL,"Организаторы международного экзамена по английскому TOEFL запретили сдавать его гражданам России
",,,
Toshiba,"Японская корпорация Toshiba сообщила, что приостанавливает прием новых заказов и инвестиций в Россию, сообщили в пресс-службе компании.
",,,7704586867
Total,"Французская компания Total начала приостановку деятельности в России — заявление (https://totalenergies.com/media/news/press-releases/russia-totalenergies-shares-its-principles-conduct)
",,,6316031581
Тoyota,"Тoyota во вторник останавливает работу всех своих заводов в Японии ""из-за кибератак на ее крупнейших клиентов""
",,,
Uber Technologies,"Uber Technologies планирует ускорить выход из MLU B.V. - совместного предприятия с ""Яндекс.Такси"" на фоне ситуации на Украине, сообщает The New York Times со ссылкой на пресс-службу американской компании.
",,,
Uniqlo,"Магазины Uniqlo официально приостановили работу в Москве
",,,7705878750
Valve,"Компания Valve отключила все основные способы оплаты на платформе для россиян
",,,2309169510
Victoria's Secret,"Магазины Victoria's Secret временно приостанавливают работу в России — заявление компании
",,,7701610014
VR,"Финская компания VR возобновляет грузоперевозки с Россией спустя три дня после заявления об их прекращении
",,,
Warner Bros.,"WarnerMedia, в который входят входят Warner Bros., CNN, HBO и HBO Max, сообщил, что приостановит лицензирование нового контента в стране.
",,,7704563877
WarnerMedia.,,,,
Web of Science,"Одна из двух ведущих международных баз данных научного цитирования Web of Science, которая предоставляет сведения о публикациях и их цитировании в научных журналах, стала недоступна для исследователей из России, сообщил вице-президент РАН Алексей Хохлов.
",,,7813518803
Wella,"Продукция марки Wella (https://t.me/bbbreaking/125979) подпадает под действие механизма параллельного импорта и никаких препятствий для поставок указанной продукции через альтернативные логистические каналы нет, заявили в пресс-службе Минпромторга РФ.  Также Минпромторг России напоминает, что краску для волос на территории Российской Федерации производят компании Юникосметик, Русская косметика, БИГ, Эстель и др.
",,,4210001086
Wintershall,"Wintershall Dea отказывается от реализации новых проектов по добыче нефти и газа в России — официально
",,,8904047896
Xerox Holdings,"Американская корпорация Xerox Holdings, занимающаяся производством копировальных аппаратов, приостановила экспорт в Россию своих товаров, сообщил портал MarketWatch со ссылкой на главного финансового директора компании Ксавье Хейсса.
",,,
Yamaha Motor Co.,Производитель мотоциклов и моторов для лодок Yamaha Motor Co. также приостановила экспорт из Японии и других стран в РФ.,,,7743558302
Computer Universe,"computeruniverse-интернет магазин компьютерных комплектующих, приостановил поставки в Россию.",,Германия,
Wunderground,"Wunderground - сервис получения информации о погоде, заблокировал доступ из РФ.",,США,
Weather.com,Weather.,,США,
Piriform Software Ltd,"Наша миссия - упростить задачу ухода за вашими устройствами путем разработки программных средств, которые устраняют реальные проблемы.",,Великобритания,
yummyanime.club,Сайт для просмотра аниме ушел с РФ и отключил сайт.,,Украина,
FructCode,FructCode - Курсы и уроки разработки и программирования веб сайтов.,,Эстония,
TicketMaster,"Ticketmaster Entertainment, Inc.",,США,7721522302
Theme Technologies LLC,"Theme Technologies LLC -услуги в области информационных технологий, консалтинга и бизнес-процессов.",,Канада,
DMG MORI,DMG MORI — японско-немецкий станкостроительный холдинг специализирующийся на разработке и продаже ст...,,Япония,7707537258
MotoCMS,Продвинутый онлайн конструктор сайтов MotoCMS — это самый простой способ создать свой сайт без каких-либо знаний кода.,,США,
SendGrid,"SendGrid — это платформа, которая улучшит транзакционные рассылки и позволит масштабировать их для решения задач email-маркетинга.",,США,
G-core,"G-Core Labs — международная компания, успешно разрабатывающая умные и функциональные продукты для любых потребностей современного веба .",,Люксембург,
Cognet,"Cogent - один из крупнейших в мире  интернет-провайдеров, предоставляющий высококачественные услуги Интернета, Ethernet и коллокации.",,США,
Kaleido AI GmbH,remove.,,США,
Syncfusion,"Syncfusion предоставляет лучшие сторонние компоненты пользовательского интерфейса для веб-форм WinForms, WPF, ASP.",,США,
GTmetrix,"GTmetrix — это веб-сервис, позволяющий анализировать скорость загрузки сайта и получить рекомендации по оптимизации.",,Канада,
samsonite,Samsonite International S.,,США,7706644419
Webex,Cервис видеоконференций WebEx прекратил работу в России.,,США,7704593720
DeviantArt,DeviantArt — коммерческая онлайн-галерея и сообщество художников общего типа.,,США,
BrickLink,Маркетплейс дла продавцов и покупателей новых и б\/у деталей Лего.,,США,
Riot Games,Компания Riot Games собрала $5.,,США,
Depesz,Depesz сайт для анализа информации.,,Швеция,
Downdetector,"Сервис, который позволяет узнать состояние любого другого сайта.",,США,
Omega,"Omega — швейцарская часовая компания, выпускающая наручные часы класса &quot;Люкс&quot; под торговой маркой Omega",,,7813392389
Testbirds,"Testbirds, ведущий мировой провайдер краудтестинга, помогает клиентам создавать цифровые продукты.",,Германия,
Setapp Ltd.,"Setapp – это большая коллекция мощных программ для Mac, доступных по подписке.",,Украина,
PariMatch,Parimatch – крупнейший инвестор в развитие спорта на национальном и региональном уровнях.,,Украина,
Maxam,Maxam-специализируется на энергетических материалах.,,Испания,7701704946
Sercobe,"SERCOBE является национальной ассоциацией · Мы представляем более 400 компаний и групп, связанных с проектированием, производством, сборкой.",,Испания,
Urbatek,Торговая марка Urbatek входит в объединение PORCELANOSA Grupo и специализируется на производстве технического керамогранита.,,Испания,
Noken,"Noken Porcelanosa Bathrooms — компания группы PORCELANOSA, специализирующаяся на оборудовании для ванных комнат.",,Испания,
Butech,Компания Butech —подразделение группы Porcelanosa фирма разрабатывает новые строительные решения для...,,Испания,
LAntic Colonial,"Испанская сеть магазинов: элитные покрытия, сантехника и керамическая плитка для ванной и кухни.",,Испания,
Krion,"KRION® — материал типа «твердая поверхность» (Solid Surface) нового поколения, разработанный компанией Systempool, которая входит в группу PORCELANOSA.",,Испания,7720092375
Gamadecor,Gamadecor-компания производства мебели.,,Испания,
Venis,"Venis фабрика из Испании, известная всей Европе и миру как один из лучших производителей керамической плитки.",,Испания,8602266563
Porcelanosa,"Porcelanosa Group - испанский производитель, дистрибьютор и продавец керамической плитки.",,Испания,
Refactoring Guru,,,Украина,
Dentsu Russia,Dentsu Russia — один из крупнейших рекламных холдингов в России.,,Япония,
English Dom,"EnglishDom — онлайн школа английского языка нового поколения, один из лидеров EdTech в Восточной Евр...",,Кипр,
VPNhub,Сервис предназначен для обхода региональных ограничений и блокировок от провайдеров.,,США,
DigiKey,Крупный магазин запчастей для электроники DigiKey приостановил работу магазина и сайта на территории РФ.,,США,
Helpcrunch,"Компания HelpCrunch перестала оказывать услуги на территории РФ, денежные средства потраченные на подписку компания перечисляет в поддержку ВСУ.",,США,
Kingston Technology,Компания Kingston - Крупнейший независимый производитель устройств памяти объявил о приостановке поставок в РФ в связи с ситуаций на Украине.,,США,
Maincast,,,Украина,
"LPP (Reserved, House, Cropp)","Польский производитель одежды LPP (управляет брендами Reserved, House, Cropp, Mohito и Sinsay) принял решение о продаже российского подразделения, говорится в сообщении компании.",,Польша,
"Французский автомобильный концерн Re...""",,,Франция,
tickets.ru,,,Россия,
Platformio,,,Украина,
Test.io,"Платформа для тестировщиков по всему миру (тестирование на компьютере\/телефоне различных сайтов, приложений, устройств)Источник: https:\/\/academy.",,Германия,
Tebex,Tebex - магазин для монетизации игровых серверов.,,Великобритания,
Momondo,Еще один иностранный агрегатор авиабилетов перестал показывать билеты в России.,,Дания,
"Essity (Zewa, Libresse, Libero)","Владеющая Zewa, Libresse и Libero компания уходит с рынка России.",,Швеция,
CoinPayments,CoinPayments перестал работать на территории Российской Федерации.,,Каймановы острова,
SWS SkyWideSystems,Производство парашютного снаряжения.,,Украина,
GFI,https:\/\/www.,,США,6143016627
sodapdf,Этот веб-сайт не обслуживает клиентов из России и Беларуси.,,Канада,
MaxMind,MaxMind is a Massachusetts-based digital mapping company that provides location data for IP addresses.,,США,
SlimHost,Slim Host ввела ограничения в работе своего хостинга для пользователей из России.,,Украина,
Flaticon,flaticon.,,США,
"Parallels, Inc",Parallels приостановил деятельность на территории России и Беларуси.,,США,
Levi's (Levi Strauss & Co.),Levi's приостановке работы магазинов в России.,,США,
